Name,Gender,Reason,Dates
FARAHANI Ahmad Amirabadi,male,"Amirabadi Farahani is a lawmaker and hardliner, as well as a member of the Iranian parliament’s presidium/board of directors. He is one of the 227 members of parliament who signed a statement on 6 November 2022 praising security forces for killing protestors and urging the judiciary to accelerate trials and sentence protestors to death by declaring them as ‘Muharebeh’, or ‘enmity against God’. As a member of the Iranian parliament, Farahani has supported the killing, detention, and torture of people during the nationwide protests in 2022.; He is therefore responsible for serious human rights violations in Iran.",20-02-2023
DELKHOSH-ABATARI Seyyed Kazem,male,"Seyyed Kazem Delkhosh-Abatari is the spokesman of the Judiciary and Legal Commission of the Iranian parliament.; During the 2022/2023 protests, he helped develop a plan to prosecute journalists and media outlets that publish news not conforming to the official narrative of the Islamic Republic. The repression of journalists in Iran has intensified since the early days of the 2022 protests as nearly 70 journalists have been arrested so far. As the spokesman of the Judiciary and Legal Commission of the Iranian Parliament, Delkhosh-Abatari has been involved in suppressing the media and journalists following the eruption of protests across Iran in 2022.; He is therefore responsible for serious human rights violations in Iran.",20-02-2023
JALALI Hossein,male,"Hossein Jalali is a lawmaker and hardliner, as well as a member of the Iranian parliament.; He is one of the 227 members of parliament who signed a letter praising security forces for killing protestors and urging the judiciary to accelerate trials and sentence protestors to death by declaring them as ‘Muharebeh’, or ‘enmity against God’. He personally confirmed the existence of the respective letter and has reaffirmed its demands. As a member of the Iranian parliament, Jalali has personally called for the execution of protestors.; He is therefore responsible for serious human rights violations in Iran.",20-02-2023
MOUSAVI Seyyed Nezamoldin,male,"Seyyed Nezamoldin Mousavi is the spokesman of the Iranian Parliament’s presidium/board of directors.; During the 2022/2023 protests, he held a meeting with judicial authorities and legislators with the aim of accelerating the execution of the sentences handed down to arrested protesters. As the spokesman of the Iranian parliament’s presidium/board of directors, Mousavi has urged the judiciary to speed up trials and accelerate the executions of sentences handed down to protestors, thereby defying their right to a fair trial and is therefore responsible for serious human rights violations in Iran.; Mousavi is also one of the 227 members of parliament who signed a statement on 6 November 2022 praising security forces for killing protestors and urging the judiciary to accelerate trials and sentence protestors to death by declaring them as ‘Muharebeh’, or ‘enmity against God’. He called protestors ‘foreign agents’ and justified human rights violations committed by the Islamic Republic of Iran. Mousavi has supported the killing, detention, and torture of people during the nationwide protests in 2022.; He is therefore responsible for serious human rights violations in Iran.",20-02-2023
NESARI Habibollah Jan,male,"Habibollah Jan Nesari is currently the deputy of training and education of the EU-listed Law Enforcement Forces of the Islamic Republic of Iran (LEF).; Between 2016 and 30 December 2019, he served as a deputy commander of the Special Units of the LEF.; In his capacity as deputy commander, he was responsible for supervising the forces in using lethal and non-lethal weapons during the nationwide protests in November 2019, which resulted in the deaths of hundreds of protestors. He was found guilty of crimes against humanity by the International People’s Tribunal on Iran’s Atrocities for his role in the crackdown on protesters in his capacity as deputy commander. As part of the security forces, the police forces are found to have designed and implemented a plan to commit crimes against humanity as well as murder, imprisonment, enforced disappearances, torture and sexual violence in order to quell the protests and conceal the crimes committed during the November 2019 protests.; As deputy commander, Nesari is personally responsible for the human rights violations carried out by the LEF. The LEF, who he is currently training, is part of the violent crackdown on protestors during the protests that erupted in September 2022, including by the deadly use of force against Iranian protesters.; He is therefore responsible for serious human rights violations in Iran.",20-02-2023
BABAEI Hassan,male,"Hassan Babaei is the is the Head of the State Organization for Registration of Deeds and Properties and a senior figure in the Iranian judiciary.; In this functions, Hassan Babaei is responsible for numerous violations of the right to fair trial during the 2022/2023 protests in Iran.; He is therefore responsible for serious human rights violations in Iran.",20-02-2023
GHANNAD Qazi,male,"Qazi Ghannad is a Revolutionary Court prosecutor and judge.; During the 2022/2023 protests, he violated the right to fair trial and sentenced protestors to death who were later executed by the Iranian regime. As prosecutor, he handed down the death sentence in the case of Majid Rahnavard in 2022.; He is therefore responsible for serious human rights violations in Iran.",20-02-2023
MANSOURI Seyed Hadi,male,"Seyed Hadi Mansouri has been a judge and head of the fourth branch of the Revolutionary Court of Mashhad since December 2017.; During the 2022/2023 protests, he participated in the campaign of death sentences pronounced against protesters, thereby also violating their right to a fair trial.; He is therefore responsible for serious human rights violations in Iran.",20-02-2023
HOSSEINI Hojjat al-Eslam Hossein,male,"Hojjat al-Eslam Hossein Hosseini is the Head of the Judiciary in the Kurdistan region.; During the 2022/2023 protests, he participated in the repression of the demonstrations and is responsible for implementing grave human rights violations in the repression of peaceful demonstrators. He is complicit in implementing those violations, including torture, cruel and inhuman and degrading treatment.; He is therefore responsible for serious human rights violations in Iran.",20-02-2023
JABARI Mohammad,male,"Mohammad Jabari is the prosecutor for the Kurdistan province.; In this function, he is responsible for several human rights violations since the 2019 protests, including death sentences and repression of demonstrations.; He is therefore responsible for serious human rights violations in Iran.",20-02-2023
MOSTAFAVINIA Hojjat al-Eslam Ali,male,"Hojjat-al-Eslam Ali Mostafavinia is a cleric and the Chief Prosecutor for Sistan and Baluchestan province. He previously served as a prosecutor in Sistan andBaluchestan, as well as in South Khorasan.; In his capacity, he was in charge of prosecuting demonstrators who were arbitrarily detained during the Zahedan protests, which took place in October 2022 and were bloodily repressed by police forces causing deaths and casualties.; He is therefore responsible for serious human rights violations in Iran.",20-02-2023
SHAMSABAD Mehdi,male,"Mehdi Shamsabad is the prosecutor of Zahedan in Sistan and Baluchestan province.; In this capacity, he is responsible for serious human rights violations during the 2022/2023 protests, including death sentences and repression of demonstrations, and issuing degrading punishment including death penalty by flogging.; He is therefore responsible for serious human rights violations in Iran.",20-02-2023
HARIKANDI Hossein Fazeli,male,"Hossein Fazeli Harikandi is the general prosecutor of Alborz province.; In this function, he responsible for condemning several hundreds of demonstrators to the crime of ‘corruption on earth’ during the 2022/2023 protests, putting them at risk of death penalty.; He also corroborated the government’s thesis of the death of M. Sarina Ismailzadeh in 2022. She died as a result of police violence. However, the state issued a statement saying she committed suicide and therefore did not die as a result of the violent repression of demonstrations in the Alborz province.; He is therefore responsible for serious human rights violations in Iran.",20-02-2023
MADADI Hassan,male,"Hassan Madadi has been the acting prosecutor in Alborz province since at least 2020.; In this capacity, he is responsible for several serious human rights violations, most notably that of the denial of the right to a fair trial during the 2022/2023 protests.; He is therefore responsible for serious human rights violations in Iran.",20-02-2023
TAGHANAKI Soghra Khodadadi,female,"Soghra Khodadadi Taghanaki is the director/warden in the Qarchak Women’s Prison.; The prison is known for inhumane detention conditions, including poor health and sanitary conditions, refusal of medical care, food shortages, excessive use of force against prisoners, torture, sexual assault and extrajudicial killings.; Qarchak prison is one of the main places where women arrested during the peaceful 2022/2023 protests following the death of 22-year-old Mahsa Amini in the custody of Iran’s Morality Police are being held.; Soghra Khodadadi Taghanaki is therefore responsible for serious human rights violations in Iran.",20-02-2023
PASANDIDEH Heidar,male,"Heidar Pasandideh has been the warden of Sanandaj Central Prison in the Kurdistan province of Iran since 2020.; Under his administration, prisoners have been arbitrarily executed in Sanandaj Central Prison. As a warden, he has overseen and therefore bears responsibility for the detention and torture of prisoners arrested during 2022/2023 protests following the death of Mahsa Amini.; Therefore he is responsible for serious human rights violations in Iran.",20-02-2023
PIRI Morteza,male,"Morteza Piri is the warden of Zahedan Central Prison in the province of Sistan and Baluchestan.; The prison is known for inhumane detention conditions, including poor health and sanitary conditions, refusal of medical care, excessive use of force against prisoners and extrajudicial killings. Under his administration, Zahedan Prison has conducted numerous executions with a disproportionate number of them targeting Iran’s Baluchi minority. In his capacity, he has been involved in the crackdown of 2022/2023 protests following the death of 22-year-old Mahsa Amini in the custody of Iran’s Morality Police.; Morteza Piri is therefore responsible for serious human rights violations in Iran.",20-02-2023
AZIZI Allah-Karam,male,"Allah-Karam Azizi is the head of EU-listed Rajaee Shahr Prison (a.k.a. Rajai Shahr Prison, Rajaishahr, Raja’i Shahr, Reja’i Shahr, Rajayi Shahr, Gorhardasht Prison, Gohar Dasht Prison) in Iran.; In his position, he is responsible for committing serious human rights violations in Iran, namely torture and cruel, inhuman or degrading treatment or punishment, as well as mistreatment and torture of prisoners.; He is therefore responsible for serious human rights violations in Iran.",20-02-2023
KHOSRAVI Mohammad Hossein,male,"As Director-General of Sistan and BaluchestanProvince Prisons, Mohammad Hossein Khosravi oversees prisons in the province of Sistan and Baluchestan.; Prisons in the province, including Zahedan Central Prison are known for inhumane detention conditions, including poor health and sanitary conditions, refusal of medical care, excessive use of force against prisoners and extrajudicial killings. Under his administration, Zahedan prison alone has conducted numerous executions with a disproportionate number of them targeting Iran’s Baluchi minority and has been involved in the crackdown of 2022/2023 protests following the death of 22-year-old Mahsa Amini in the custody of Iran’s Morality Police.; Mohammad Hossein Khosravi is therefore responsible for serious human rights violations in Iran.",20-02-2023
CHEHARMAHALI Ali,male,"Ali Cheharmahali is the director general of prisons in the province of Alborz and former Director of EU-listed Evin Prison.; In his position, he is responsible for committing serious human rights violations in Iran including torture and cruel, inhuman or degrading treatment during the 2022/2023 protests.; He is therefore responsible for serious human rights violations in Iran.",20-02-2023
FADAVI Ali,male,"Ali Fadavi is the deputy commander of the Islamic Revolutionary Guard Corps (IRGC).; The IRGC has been heavily involved in the active and violent suppression of the 2022/2023 protests in Iran and is therefore responsible for serious human rights violations.; In his role, Fadavi is steering, facilitating and condoning serious human rights violations committed by the IRGC.; Therefore, Ali Fadavi is responsible for serious human rights violations in Iran.",20-02-2023
SHARIF Ramezan,male,"Ramezan Sharif is a spokesman of the Islamic Revolutionary Guard Corps (IRGC).; The IRGC has been heavily involved in the active and violent suppression of the 2022/2023 protests in Iran and is therefore responsible for serious human rights violations.; In his role, Sharif is covering up and condoning serious human rights violations committed by the IRGC.; Therefore, Ramezan Sharif is responsible for serious human rights violations in Iran.",20-02-2023
JOMEIRI Fathollah,male,"Fathollah Jomeiri is the head of the Intelligence Protection Organization of the Islamic Revolutionary Guard Corps (IRGC), also called the Security Unit of the IRGC.; This unit is responsible for protecting vital infrastructure and key areas of the country, important individuals, such as regime VIPs, but above all protecting the regime.; The IRGC has been heavily involved in the active and violent suppression of the 2022/2023 protests in Iran and is therefore responsible for serious human rights violations.; In his role, Jomeiri is steering, facilitating and condoning serious human rights violations committed by the IRGC.; Therefore, Fathollah Jomeiri is responsible for serious human rights violations in Iran.",20-02-2023
KAAMFAR Behdad,male,"Behdad Kaamfar is a prosecutor at the Karaj Revolutionary Prosecutor’s Office which prosecutes cases in the Karaj Revolutionary Court.; In that function, he is responsible for exercising repression against protesters through severe penalties, including the death penalty. The Iranian judicial authorities in particular use the criminal charge of ‘Muharebeh’, or ‘enmity against God’ which allows for the death penalty for opposing state organs and that is frequently used for repression against protesters.; In particular, Kaamfar represented the prosecution in a case in November/December 2022, in which a number of protesters were convicted ostensibly of attacks against the Basij. In that trial, Kaamfar led the prosecution to a number of death penalties for ‘Muharebeh’, in particular against Mohammad Mehdi Karimi, Amid Mehdi Shokrollahi, Reza Aria Farzaneh Gharehassanlou, Hamid Gharehassanlou, Ali Moazzami Goudarzi and Hossein Mehdi Mohammadi.; In leading such prosecutions and employing such criminal offences contrary to principles of justice, and thus causing the death of individuals opposing the Iranian states, Behdad Kaamfar is responsible for serious human rights violations in Iran.",20-02-2023
FATHI Murad,male,"Murad Fathi has been the Director of prisons of West Azerbaijan province since 22 November 2022.; He has previously held the same position in Kordestan province. In prisons under his control, cases of torture of prisoners have taken place during the 2022/2023 protests, leading in some instances to the death of detainees from torture and/or lack of medical care. Those detained and tortured include protesters arrested in both those provinces.; In participating in the repression of protesters and overseeing torture in prison facilities under his command, in some cases leading to the death of prisoners, Murad Fathi is responsible for serious human rights violations in Iran.",20-02-2023
KHOSROU PANAH Abdol Hossein,male,"Abdol Hossein Khosrou Panah is a conservative cleric and has been the chairman and secretary of the Supreme Council of Cultural Revolution since January 2023.; The Supreme Council of Cultural Revolution promoted several projects undermining the freedom of girls and women, setting limits on their clothing and education. Its laws have also discriminated minorities, such as the Baha’i. It is a vehicle for promoting the current regime’s policies and Islamist opinions.; As chairman and secretary of the Supreme Council of Cultural Revolution, Khosrou Panah is therefore responsible for serious human rights violations in Iran.",20-03-2023
ALAM-AL HODA Ahmad,male,"Ahmad Alam-Al Hoda is the Friday imam of Mashhad and representative of Khorasan Razavi province in the Assembly of Experts.; In his speeches and in the media, he participates in the propagation of hate against women, demonstrators and religious minorities.; Alam-Al Hoda is therefore responsible for serious human rights violations in Iran.",20-03-2023
RASTINEH Ahmad,male,"Ahmad Rastineh is a Member of the Iranian Parliament (Madjles) and its spokesman for the cultural commission. The cultural commission has a supervisory position to control and supervise the institutions in charge of ‘spreading the culture of chastity and hijab’.; Rastineh promotes a hard-line version of the Islamic revolution’s cultural principles, particularly concerning women, and the wearing of the veil/hijab. During the 2022/2023 protests in Iran, he called for an affirmation of the law imposing the veil on Iranian women. He also supported the government’s control over the internet and internet-cuts.; He is therefore responsible for serious human rights violations in Iran.",20-03-2023
KHAN MOHAMMADI Hodjatoleslam Ali,male,"Hodjatoleslam Ali Khan Mohammadi is the spokesman of the EU-listed Headquarters for Enjoining Right and Forbidding Evil.; In 2022 and 2023, in his position as spokesman of the Headquarters for Enjoining Right and Forbidding Evil, he qualified the non-wearing of the hijab as a crime and promoted a hard-line version of the Islamic revolution’s cultural principles, particularly concerning women, and the wearing of the veil/hijab. Acting in his position, he expressed his support for and contributed to legitimising the repression of anti-hijab activists, undermining women and girls’ rights and freedoms.; He is therefore responsible for serious human rights violations in Iran.",20-03-2023
AKBARI Mohammad Sadegh,male,"Mohammad Sadegh Akbari is the chief justice of Mazandaran province.; In this position, he is responsible for handing down death sentences in unfair trials (absence of lawyers, coerced confessions) and for the torturing of convicts. During the 2022/2023 protests, he was responsible for shutting down shops that did not respect the hijab laws and for sentencing to death a 35-year old mentally ill protester who allegedly burned the Quran.; He is therefore responsible for serious human rights violations in Iran.",20-03-2023
BARATI Morteza,male,"Morteza Barati is the presiding judge of branch 1 of the Revolutionary Courts of Isfahan.; In January 2023, he sentenced to death by hanging at least three protestors, denying them the right to a fair trial.; He is therefore responsible for serious human rights violations in Iran.",20-03-2023
AL HOSSEINI Musa Asif,male,"Musa Asif Al Hosseini is the head judge of branch 1 of the Revolutionary Courts of Karaj, Alborz province.; Trials under his supervision have been conducted summarily, without adherence to basic rights of the accused and with reliance on confessions extracted under pressure and torture. During the 2022/2023 protests, he presided over the trials of protestors and issued several death sentences, two of which were carried out against Mohammed Karami and Mohammed Hosseini.; He is therefore responsible for serious human rights violations in Iran.",20-03-2023
JALILI Vahid,male,"Vahid Jalili is the chief for cultural affairs and policy evolution at the EU-listed Islamic Republic of Iran Broadcasting (IRIB).; During the 2022/2023 protests, IRIB broadcasted forced confessions from foreign hostages. Due to his senior position at IRIB, Jalili is directly involved in undermining the human rights of foreign hostages and in their inhuman treatment. He is also responsible for sharing propaganda confessions supporting the regime.; He is therefore responsible for serious human rights violations in Iran.",20-03-2023
NOBAVEH VATAN Bijan,male,"Bijan Nobaveh Vatan is an Iranian lawmaker and hardliner as well as the First Deputy Chairman of the Culture Commission of the Iranian Parliament.; He is one of the 227 members of parliament who signed a statement on 6 November 2022 praising security forces for killing protestors and urging the judiciary to accelerate trials and sentence protestors to death by declaring them as ‘Muharebeh’, or ‘enmity against God’.; Moreover, he is a driving force behind legislation enforcing restrictive clothing rules on women by enacting penalties for institutions, businesses and individuals that interact with non-compliant women, thus creating a boycott against them.; As a Member of the Iranian Parliament, Nobaveh Vatan supported the killing, detention and torture of people during the 2022/2023 nationwide protests in Iran. He further supports legislation that substantially revokes the social and economic rights of women in Iran.; He is therefore responsible for serious human rights violations in Iran.",24-04-2023
YAZDIKHAH Ali,male,"Ali Yazdikhah is an Iranian lawmaker and hardliner as well as a member of the Culture Commission of the Iranian Parliament.; He is one of the 227 members of parliament who signed a statement on 6 November 2022 praising security forces for killing protestors and urging the judiciary to accelerate trials and sentence protestors to death by declaring them as ‘Muharebeh’, or ‘enmity against God’.; Moreover, he is a driving force behind legislation enforcing restrictive clothing rules on women by enacting penalties for institutions, businesses and individuals that interact with non-compliant women, thus creating a boycott against them.; As a Member of the Iranian Parliament, Yazdikhah supported the killing, detention and torture of people during the 2022/2023 nationwide protests in Iran. He further supports legislation that substantially revokes the social and economic rights of women in Iran.; He is therefore responsible for serious human rights violations in Iran.",24-04-2023
ALIBABAEI Mehdi,male,"Major Mehdi Alibabaei is the provincial deputy of the Islamic Revolutionary Guard Corps (IRGC) in Qom. He directs IRGC and Basij forces in the city of Qom.; Following the death of Mahsa Amini in September 2022, some of the most intense protests have been seen in the city of Qom. Security forces, including the IRGC and the Basij militia were deployed to violently crack down on these protests. Since March 2023, the IRGC and Basij militia have also been instructed to enforce the mandatory hijab law by new methods of oppression.; Alibabaei revealed a new scheme to deploy members of the Basij militia in each Qom neighbourhood to enforce the hijab law. The new scheme includes installing programs such as ‘Be a famous leader in our neighbourhood’, ordering IRGC/Basij forces to conduct neighbourhood patrols, the use of intelligence, intimidation, and enforcing accountability of regular citizens (for example by appealing to the responsibility of building and residence managers for ‘badly veiled’ residents). This scheme represents a new level of denunciation and information gathering by the general population to oppress women.; Under the command of Alibabaei, the local IRGC and Basij forces in Qom are ordered to enforce certain selected laws, by means and methods that intimidate citizens and violate their fundamental rights.; As provincial deputy of the IRGC in Qom, Major Mehdi Alibabaei is responsible for the acts of oppression committed by the local IRGC and Basij forces and their violations of the rights of freedom of expression and privacy.; He is therefore responsible for serious human rights violations in Iran.",24-04-2023
NOUROUZI Ali Asghar,male,"Ali Asghar Nourouzi is the chairman of the board of directors of the EU-listed Islamic Revolutionary Guard Corps (IRGC) Cooperative Foundation.; The IRGC has been at the forefront of the repression of the 2022/2023 protests in Iran which has seen more than 520 people killed, over 70 of whom were minors, and more than 22 000  arrests/imprisonments effected.; The IRGC Cooperative Foundation is the body responsible for managing the IRGC’s investments and in that framework it is responsible for funnelling money into the regime’s brutal repression.; As chairman of the board of directors of the IRGC Cooperative Foundation, Ali Asghar Nourouzi is therefore responsible for willingly and knowingly providing the instruments with which the brutal and ongoing repression has been carried out.; He is therefore responsible for serious human rights violations in Iran.",24-04-2023
TABATABAI Seyyed Amin Ala Emami,male,"Seyyed Amin Ala Emami Tabatabai is the vice-chairman of the board of directors as well as the managing director of the EU-listed Islamic Revolutionary Guard Corps (IRGC) Cooperative Foundation.; The IRGC has been at the forefront of the repression of the 2022/2023 protests in Iran which has seen more than 520 people killed, over 70 of whom were minors, and more than 22 000  arrests/imprisonments effected.; The IRGC Cooperative Foundation is the body responsible for managing the IRGC’s investments and in that framework it is responsible for funnelling money into the regime’s brutal repression.; As vice-chairman of the board of directors and managing director of the IRGC Cooperative Foundation, Seyyed Amin Ala Emami Tabatabai is therefore responsible for willingly and knowingly providing the instruments with which the brutal and ongoing repression has been carried out.",24-04-2023
ALAODDINI Yahya,male,"Yahya Alaoddini is a member of the board of directors of the EU-listed Islamic Revolutionary Guard Corps (IRGC) Cooperative Foundation.; The IRGC has been at the forefront of the repression of the 2022/2023 protests in Iran which has seen more than 520 people killed, over 70 of whom were minors, and more than 22 000  arrests/imprisonments effected.; The IRGC Cooperative Foundation is the body responsible for managing the IRGC’s investments and in that framework it is responsible for funnelling money into the regime’s brutal repression.",24-04-2023
BABAMORADI Jamal Ali,male,"Jamal Ali Babamoradi is a member of the board of directors of the EU-listed Islamic Revolutionary Guard Corps (IRGC) Cooperative Foundation.; The IRGC has been at the forefront of the repression of the 2022/2023 protests in Iran which has seen more than 520 people killed, over 70 of whom were minors, and more than 22 000  arrests/imprisonments effected.; The IRGC Cooperative Foundation is the body responsible for managing the IRGC’s investments and in that framework it is responsible for funnelling money into the regime’s brutal repression.; As member of the board of directors of the IRGC Cooperative Foundation, Jamal Ali Babamoradi is therefore responsible for willingly and knowingly providing the instruments with which the brutal and ongoing repression has been carried out.",24-04-2023
KARIMI Ahmad Hasan,male,"Ahmad Hasan Karimi is a member of the board of directors of the EU-listed Islamic Revolutionary Guard Corps (IRGC) Cooperative Foundation.; The IRGC has been at the forefront of the repression of the 2022/2023 protests in Iran which has seen more than 520 people killed, over 70 of whom were minors, and more than 22 000  arrests/imprisonments effected.; The IRGC Cooperative Foundation is the body responsible for managing the IRGC’s investments and in that framework it is responsible for funnelling money into the regime’s brutal repression.",24-04-2023
ADINEHVAND Salman,male,"Salman Adinehvand has been the Commander of the Tehran Police Relief Unit of Iran’s LEF, the primary security organisation in charge of crowd control and protest suppression, since January 2021. Adinehvand’s unit was directly responsible for the violent suppression of protests in Tehran in September and October 2022, during which dozens of protestors were killed by security forces using live ammunition.; He is therefore responsible for serious human rights violations in Iran.",22-05-2023
AGHAMIRI Seyyed Mohammad Amin,male,"Seyyed Mohammad Amin Aghamiri is the secretary of the Supreme Council of Cyberspace of Iran (SCC), the centralised authority for policymaking in the realm of cyberspace. The SCC is responsible for Iran’s blockage of popular online news and communications platforms and has also used digital technology to spy on and harass journalists and regime dissidents.; He is therefore responsible for serious human rights violations in Iran.",22-05-2023
NIKVARZ Mohsen,male,"As the Public Prosecutor of Sirjan, Mohsen Nikvarz was responsible for several arbitrary arrests of lawyers and death sentences in Sirjan during the 2019 protests. In 2023, he was promoted to Head of the Center for Protection and Intelligence of the Judiciary of Kerman province.; In the context of the protests that erupted in September 2022, Nikvarz was also involved in the Maryam Arvin case, prosecuting her for her activities as a defence lawyer for protesters. Following her arrest, for which Nikvarz carries personal responsibility, Maryam Arvin was brutally tortured in prison.; Mohsen Nikvarz is therefore responsible for serious human rights violations in Iran.",22-05-2023
MORADI Nader,male,"In his current function as Deputy Supervisor of Public Spaces of the Public Security Police, Colonel Nader Moradi is responsible for the enforcement of hijab laws. Those laws have been used by the Iranian authorities to crack down on peaceful protesters.; Moradi is responsible for the persecution and arrest of women for non-compliance with hijab rules. He is also responsible for the closure of businesses, restaurants and other public spaces in relation to non-enforcement of hijab rules, signing the letters informing them of their closure.; During the protests that started in September 2022 and lasted for many months, Moradi was also responsible for the persecution and arrest of shop owners who closed their businesses and were planning on striking in protest of the death of Mahsa Amini.; Moradi is therefore responsible for serious human rights violations in Iran.",22-05-2023
MONTAZER AL-MAHDI Saeed,male,"Saeed Montazer Al-Mahdi is the spokesman of the Iranian police (EU-listed Law Enforcement Forces (LEF) of Iran).; In April 2023, he announced the current strict enforcement of hijab laws, which have been used by the Iranian authorities to crack down on peaceful protesters. Acting in his function, he defends and promotes the repressive actions of the police.; His intimidating statements on monitoring, the closure of businesses and other public spaces, and the warning texts that are being sent by the authorities have a very significant repressive impact. Furthermore, in his role as police spokesperson, he has repeatedly downplayed the widely reported schoolgirl poisonings, by claiming that the ‘majority’ were ‘not real’, thereby denying the victims protection through the police and undermining their right to safety.; He is therefore responsible for serious human rights violations in Iran.",22-05-2023
Seyyed Mohammad MOUSVIAN,male,"Mousvian is the Public and Revolutionary Prosecutor of Isfahan Province, Iran. As such he is responsible for the trials against the protestors Saleh Mirhashmi, Majid Kazemi and Saeid Yaqoubi, who have since been sentenced to death and subsequently been executed in May 2023.; Mousvian further issued the indictment against Iranian music artist Toomaj Salehi on charges of ‘corruption on earth’ for his participation in anti-government protests and public activism against the Iranian government in October 2022, who has since been held in Dastgerd Prison under cruel conditions while awaiting his trial. In November 2022, state media published a video showing a blindfolded Salehi confessing to his alleged crimes and apologizing for his words.; He is therefore responsible for serious human rights violations in Iran.",26-06-2023
Ali Zare NOURI,male,"Nouri is the Deputy Judge of and advisor to the Provincial Criminal Court of Isfahan Province, Iran. As such he is responsible for the trials against the protestors Saleh Mirhashmi, Majid Kazemi and Saeid Yaqoubi, who have since been sentenced to death and subsequently been executed in May 2023. In a video published by Iranian state media, Nouri can be seen questioning the three defendants in court.; He is therefore responsible for serious human rights violations in Iran.",26-06-2023
Seyyed Nader SAFAVI MIRMAHALLEH,male,"Seyyed Nader Safavi Mirmahalleh is the governor and head of Rezvanshahr Security Council in Gilan Province. As such, he is responsible for ordering officers to open fire on protesters during Iran’s 2022–2023 nationwide protests, which resulted in numerous deaths and injuries, including to children.; He is therefore responsible for serious human rights violations in Iran.",26-06-2023
Seyyed Khalil SAFAVI,male,"Seyyed Khalil Safavi is the Police Commander of Rezvanshahr in Gilan Province and held this position also at the time of the protest. As such, he is responsible for police officers in Rezvanshahr opening fire on protesters during protests in the city that took place in late September 2022, which resulted in numerous deaths and injuries, including to children.; He is therefore responsible for serious human rights violations in Iran.",26-06-2023
Seyyed Abbas HOSSEINI,male,"In January 2022, Hosseini was appointed as governor of the city of Amol, Mazandaran Province. As such, he is responsible for the killing of at least two young Iranian protesters, Ghazaleh Chalabi and Erfan Rezaei, who were both killed in September 2022 by government forces in the city of Amol. Further, security forces in Amol have continued to harass peaceful protesters and families of the deceased.; In June 2023, Hosseini was replaced as Governor of Amol, but was appointed Special Governor of the city of Amol. In his new position, Hosseini still has an active role as government representative.; He is therefore responsible for serious human rights violations in Iran.",26-06-2023
Mojtaba FADA,male,"Fada is the commander of IRGC forces in Isfahan province and currently serves as a member of the Provincial Security Council. As such, he oversaw the actions of IRGC troops and other security forces in response to anti-government protests in fall of 2022, which resulted in the death of several protesters, including that of 18-year-old Mahsa Mougouyi.; He is therefore responsible for serious human rights violations in Iran.",26-06-2023
Rashid KABOUDVANDI,male,"Kaboudvandi is since May 2022 the commander of the Imam Hossein Guards Corps of Karaj, Alborz Province. As such he is responsible for the detention and killing of Mohammad Reza Ghorbani and the detention and rape of Amrita Abbassi by the Karaj security forces.; Blatant and severe human rights violations by police forces have been widely documented since protests surrounding the death of Mahsa Amini started mid-September 2022.; He is therefore responsible for serious human rights violations in Iran.",26-06-2023
PARVAR Gholamhossein Gheib,male,"Gholamhossein Gheib Parvar is the Deputy to the Commander-in-Chief of the Islamic Revolutionary Guard Corps (IRGC) in Imam Ali Central Security Headquarters. In this capacity at the Imam Ali Central Security Headquarters, which was formed with the aim of suppressing popular protests, he was responsible for killing and suppressing protesters during the November 2019 nationwide protests. In his previous function, as head of the Basij Organisation, he was responsible for the killing and brutal suppression of protesters by forces under his command during the nationwide protests in Iran from December 2017 to January 2018.; Gholamhossein Gheib Parvar is therefore responsible for serious human rights violations in Iran.",15-09-2023
SHAHRESTANI Hassan Mofakhami,male,"Hassan Mofakhami Shahrestani is the police commander of the Mazandaran Province. He has a long track record of functions related to violently suppressing peaceful protests. In June 2023, he explicitly ordered people to break the neck of anyone seeking to defy hijab norms.; Hassan Mofakhami Shahrestani is therefore responsible for serious human rights violations in Iran.",15-09-2023
HABIBI Roham Bakhsh,male,"Roham Bakhsh Habibi is the police commander of the Fars Province and has a track record related to violently suppressing peaceful protests. As police commander of the Fars province, he is responsible for the mass arrest of protesters and ordering the use of deadly weapons against unarmed protesters in this province during the nationwide protests of November 2019. It is reported that forces under his command in the Fars Province violently suppressed protests in November 2019 and killed people.; Roham Bakhsh Habibi is therefore responsible for serious human rights violations in Iran.",15-09-2023
TAHAMI Seyyed Javad,male,"Seyyed Javad Tahami is the head of Kachui Prison, also known as Fardis Prison, and, in this capacity, he oversees all activities within the prison. Kachui prison is an institution controlled by the Prison Division of the Judiciary and is frequently used to detain political prisoners and house them in inadequate conditions which violate their human rights. Furthermore, the evidence confirms that executions have occurred within the penitentiary.; Seyyed Javad Tahami is therefore responsible for serious human rights violations in Iran.",15-09-2023
Hadi ZAHOURIAN,male,"Hadi Zahourian is Chief Executive Officer (CEO) of Shakad Sanat Asmari.; Shakad Sanat Asmari is an Iranian company that develops and manufactures components for the Shahed unmanned aerial vehicles (UAVs).; As the CEO of Shakad Sanat Asmari, Hadi Zahourian is therefore supporting and involved in Iran’s UAV programme.",11-12-2023
